"date	vehicle_category	maker	electric_vehicles_sold"
"4/1/2021	2-Wheelers	BEING	171"
"4/1/2022	2-Wheelers	BEING	874"
"5/1/2021	2-Wheelers	BEING	54"
"5/1/2022	2-Wheelers	BEING	862"
"6/1/2021	2-Wheelers	BEING	198"
"6/1/2022	2-Wheelers	BEING	1005"
"7/1/2021	2-Wheelers	BEING	494"
"7/1/2022	2-Wheelers	BEING	1245"
"8/1/2021	2-Wheelers	BEING	325"
"8/1/2022	2-Wheelers	BEING	1099"
"9/1/2021	2-Wheelers	BEING	337"
"9/1/2022	2-Wheelers	BEING	975"
"10/1/2021	2-Wheelers	BEING	469"
"10/1/2022	2-Wheelers	BEING	1422"
"11/1/2021	2-Wheelers	BEING	912"
"11/1/2022	2-Wheelers	BEING	1216"
"12/1/2021	2-Wheelers	BEING	1190"
"12/1/2022	2-Wheelers	BEING	966"
"1/1/2022	2-Wheelers	BEING	1062"
"1/1/2023	2-Wheelers	BEING	571"
"2/1/2022	2-Wheelers	BEING	1149"
"2/1/2023	2-Wheelers	BEING	337"
"3/1/2022	2-Wheelers	BEING	1013"
"3/1/2023	2-Wheelers	BEING	446"
"4/1/2023	2-Wheelers	BGAUSS	762"
"5/1/2023	2-Wheelers	BGAUSS	1792"
"6/1/2023	2-Wheelers	BGAUSS	189"
"7/1/2023	2-Wheelers	BGAUSS	653"
"8/1/2023	2-Wheelers	BGAUSS	912"
"9/1/2023	2-Wheelers	BGAUSS	924"
"10/1/2023	2-Wheelers	BGAUSS	1157"
"11/1/2023	2-Wheelers	BGAUSS	1589"
"12/1/2023	2-Wheelers	BGAUSS	1200"
"1/1/2024	2-Wheelers	BGAUSS	1469"
"2/1/2024	2-Wheelers	BGAUSS	1334"
"3/1/2024	2-Wheelers	BGAUSS	3070"
"4/1/2021	4-Wheelers	BMW India	0"
"5/1/2021	4-Wheelers	BMW India	0"
"6/1/2021	4-Wheelers	BMW India	0"
"7/1/2021	4-Wheelers	BMW India	0"
